"id","reconcile","code","name","internal_type","user_type_id/id"
"__export__.account_account_30403",,30403,"ELIMINADO",,
"__export__.account_account_30404",,30404,"ELIMINADO",,
"__export__.account_account_305",,305,"OTROS RESULTADOS INTEGRALES",,
"__export__.account_account_30501",,30501,"SUPERAVIT DE ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA",,
"__export__.account_account_30502",,30502,"SUPERAVIT POR REVALUACIÓN DE PROPIEDADES, PLANTA Y EQUIPO",,
"__export__.account_account_30503",,30503,"SUPERAVIT POR REVALUACION DE ACTIVOS INTANGIBLES",,
"__export__.account_account_30504",,30504,"OTROS SUPERAVIT POR REVALUACION",,
"__export__.account_account_306",,306,"RESULTADOS ACUMULADOS",,
"__export__.account_account_30601",,30601,"GANACIAS ACUMULADAS",,
"__export__.account_account_30602",,30602,"(-) PÉRDIDAS ACUMULADAS",,
"__export__.account_account_30603",,30603,"RESULTADOS ACUMULADOS PROVENIENTES DE LA ADOPCIÓN POR PRIMERA VEZ DE LAS NIIF",,
"__export__.account_account_30604",,30604,"RESERVA DE CAPITAL",,
"__export__.account_account_30605",,30605,"RESERVA POR DONACIONES",,
"__export__.account_account_30606",,30606,"RESERVA POR VALUACIÓN",,
"__export__.account_account_30607",,30607,"SUPERÁVIT POR REVALUACIÓN DE INVERSIONES",,
"__export__.account_account_307",,307,"RESULTADOS DEL EJERCICIO",,
"__export__.account_account_30701",,30701,"GANANCIA NETA DEL PERIODO",,
"__export__.account_account_30702",,30702,"(-) PÉRDIDA NETA DEL PERIODO",,
"__export__.account_account_31",,31,"PARTICIPACIÓN NO CONTROLADORA",,
"__export__.account_account_41",,41,"INGRESOS DE ACTIVIDADES ORDINARIAS",,
"__export__.account_account_4101",,4101,"VENTA DE BIENES",,
"__export__.account_account_4102",,4102,"PRESTACIÓN DE SERVICIOS",,
"__export__.account_account_4103",,4103,"CONTRATOS DE CONSTRUCCIÓN",,
"__export__.account_account_4104",,4104,"SUBVENCIONES DEL GOBIERNO",,
"__export__.account_account_4105",,4105,"REGALÍAS",,
"__export__.account_account_4106",,4106,"INTERESES",,
"__export__.account_account_410601",,410601,"INTERESES GENERADOS POR VENTAS A CRÉDITO",,
"__export__.account_account_410602",,410602,"OTROS INTERESES GENERADOS",,
"__export__.account_account_4107",,4107,"DIVIDENDOS",,
"__export__.account_account_4108",,4108,"GANANCIA POR MEDICIÓN A VALOR RAZONABLE DE ACTIVOS BIOLÓGICOS",,
"__export__.account_account_4109",,4109,"OTROS INGRESOS DE ACTIVIDADES ORDINARIAS",,
"__export__.account_account_4110",,4110,"(-) DESCUENTO EN VENTAS",,
"__export__.account_account_4111",,4111,"(-) DEVOLUCIONES EN VENTAS",,
"__export__.account_account_4112",,4112,"(-) BONIFICACIÓN EN PRODUCTO",,
"__export__.account_account_4113",,4113,"(-) OTRAS REBAJAS COMERCIALES",,
"__export__.account_account_42",,42,"GANANCIA BRUTA --> Subtotal A (41 - 51)",,
"__export__.account_account_43",,43,"OTROS INGRESOS",,
"__export__.account_account_4301",,4301,"DIVIDENDOS",,
"__export__.account_account_4302",,4302,"INTERESES FINANCIEROS",,
"__export__.account_account_4303",,4303,"GANANCIA EN INVERSIONES EN ASOCIADAS / SUBSIDIARIAS Y OTRAS",,
"__export__.account_account_4304",,4304,"VALUACIÓN DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIO EN RESULTADOS",,
"__export__.account_account_4305",,4305,"OTRAS RENTAS",,
"__export__.account_account_51",,51,"COSTO DE VENTAS Y PRODUCCIÓN",,
"__export__.account_account_5101",,5101,"MATERIALES UTILIZADOS O PRODUCTOS VENDIDOS",,
"__export__.account_account_510101",,510101,"(+) INVENTARIO INICIAL DE BIENES NO PRODUCIDOS POR LA COMPAÑÍA",,
"__export__.account_account_510102",,510102,"(+) COMPRAS NETAS LOCALES DE BIENES NO PRODUCIDOS POR LA COMPAÑÍA",,
"__export__.account_account_510103",,510103,"(+) IMPORTACIONES DE BIENES NO PRODUCIDOS POR LA COMPAÑÍA",,
"__export__.account_account_510104",,510104,"(-) INVENTARIO FINAL DE BIENES NO PRODUCIDOS POR LA COMPAÑÍA",,
"__export__.account_account_510105",,510105,"(+) INVENTARIO INICIAL DE MATERIA PRIMA",,
"__export__.account_account_510106",,510106,"(+) COMPRAS NETAS LOCALES DE MATERIA PRIMA",,
"__export__.account_account_510107",,510107,"(+) IMPORTACIONES DE MATERIA PRIMA",,
"__export__.account_account_510108",,510108,"(-) INVENTARIO FINAL DE MATERIA PRIMA",,
"__export__.account_account_510109",,510109,"(+) INVENTARIO INICIAL DE PRODUCTOS EN PROCESO",,
"__export__.account_account_510110",,510110,"(-) INVENTARIO FINAL DE PRODUCTOS EN PROCESO",,
"__export__.account_account_510111",,510111,"(+) INVENTARIO INICIAL PRODUCTOS TERMINADOS",,
"__export__.account_account_510112",,510112,"(-) INVENTARIO FINAL DE PRODUCTOS TERMINADOS",,
"__export__.account_account_5102",,5102,"(+) MANO DE OBRA DIRECTA",,
"__export__.account_account_510201",,510201,"SUELDOS Y BENEFICIOS SOCIALES",,
"__export__.account_account_510202",,510202,"GASTO PLANES DE BENEFICIOS A EMPLEADOS",,
"__export__.account_account_5103",,5103,"(+) MANO DE OBRA INDIRECTA",,
"__export__.account_account_510301",,510301,"SUELDOS Y BENEFICIOS SOCIALES",,
"__export__.account_account_510302",,510302,"GASTO PLANES DE BENEFICIOS A EMPLEADOS",,
"__export__.account_account_5104",,5104,"(+) OTROS COSTOS INDIRECTOS DE FABRICACIÓN",,
"__export__.account_account_510401",,510401,"DEPRECIACIÓN PROPIEDADES, PLANTA Y EQUIPO",,
"__export__.account_account_510402",,510402,"DETERIORO O PÉRDIDAS DE ACTIVOS BIOLÓGICOS",,
"__export__.account_account_510403",,510403,"DETERIORO DE PROPIEDAD, PLANTA Y EQUIPO",,
"__export__.account_account_510404",,510404,"EFECTO VALOR NETO DE REALIZACIÓN DE INVENTARIOS",,
"__export__.account_account_510405",,510405,"GASTO POR GARANTÍAS EN VENTA DE PRODUCTOS O SERVICIOS",,
"__export__.account_account_510406",,510406,"MANTENIMIENTO Y REPARACIONES",,
"__export__.account_account_510407",,510407,"SUMINISTROS MATERIALES Y REPUESTOS",,
"__export__.account_account_510408",,510408,"OTROS COSTOS DE PRODUCCIÓN",,
"__export__.account_account_52",,52,"GASTOS",,
"__export__.account_account_5201",,5201,"GASTOS",,
"__export__.account_account_520101",,520101,"SUELDOS, SALARIOS Y DEMÁS REMUNERACIONES",,
"__export__.account_account_520102",,520102,"APORTES A LA SEGURIDAD SOCIAL (incluido fondo de reserva)",,
"__export__.account_account_520103",,520103,"BENEFICIOS SOCIALES E INDEMNIZACIONES",,
"__export__.account_account_520104",,520104,"GASTO PLANES DE BENEFICIOS A EMPLEADOS",,
"__export__.account_account_520105",,520105,"HONORARIOS, COMISIONES Y DIETAS A PERSONAS NATURALES",,
"__export__.account_account_520106",,520106,"REMUNERACIONES A OTROS TRABAJADORES AUTÓNOMOS",,
"__export__.account_account_520107",,520107,"HONORARIOS A EXTRANJEROS POR SERVICIOS OCASIONALES",,
"__export__.account_account_520108",,520108,"MANTENIMIENTO Y REPARACIONES",,
"__export__.account_account_520109",,520109,"ARRENDAMIENTO OPERATIVO",,
"__export__.account_account_520110",,520110,"COMISIONES",,
"__export__.account_account_520111",,520111,"PROMOCIÓN Y PUBLICIDAD",,
"__export__.account_account_520112",,520112,"COMBUSTIBLES",,
"__export__.account_account_520113",,520113,"LUBRICANTES",,
"__export__.account_account_520114",,520114,"SEGUROS Y REASEGUROS (primas y cesiones)",,
"__export__.account_account_520115",,520115,"TRANSPORTE",,
"__export__.account_account_520116",,520116,"GASTOS DE GESTIÓN (agasajos a accionistas, trabajadores y clientes)",,
"__export__.account_account_520117",,520117,"GASTOS DE VIAJE",,
"__export__.account_account_520118",,520118,"AGUA, ENERGÍA, LUZ Y TELECOMUNICACIONES",,
